appeal,supreme,url
234/2024,95/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=f94bfdf0-9c2d-4871-8c99-100ebef84f4b
327/2024,103/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=2f36d239-2768-46bb-bc71-356ff67f6aa6
701/2024,100/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=51baa894-385c-431f-b48f-710337fa88ea
867/2023,116/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=18e9c25a-0b2a-4250-b5aa-aaf29c5b2fab
302/2025,105/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=e5145cdc-d206-4d7a-a8f7-2c5e87929ea8
317/2025,106/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=65b615fe-97c6-4451-9ee3-2ce4c8f86ccb
98/2024,94/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=39eefec9-695e-4f03-ba8e-7954ea7cfdac
76/2025,104/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=75fb3073-ab0e-4be8-9d76-cc43b24aab7c
112/2024,82/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=7343e842-7cd9-4f30-b35e-45b07b9aa646
239/2024,86/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ab90aba0-fa6d-4df5-aad8-570e469c046a
338/2023,77/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=77f429a2-8eb4-4ea3-b547-72e3a4aabcdb
41/2024,92/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c74de9e8-5a1d-4bce-8d48-c6d113d6b2ad
139/2024,91/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0156f7e7-4169-45a9-a8fe-e8265bb88685
904/2023,80/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=01f5cf90-63f6-4179-9781-3082ca1f0db4
198/2025,88/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=68117de9-ab58-40be-9e0d-4ce39f6c9415
615/2023,72/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0e1a071e-8571-49a3-8e3c-52a8c80acefa
179/2025,83/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3e5468d9-1a18-42f0-87c7-5450200a6c22
162/2024,73/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=09218100-1b2d-4f3c-9618-974e19a5cec1
533/2023,50/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=5f0213b7-7578-4605-b16c-d1b64d527ee7
324/2024,61/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=aee67480-09e0-4148-a897-d1d340e431d5
846/2023,44/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=7aa78d94-ff5b-462f-9fbd-cd53fd248465
