supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2018-86,https://island.is/s/haestirettur/akvardanir/ec5a33c0-f32e-4b2d-a720-b6f74b847d70,14/2018,https://island.is/domar/g-2da6e6c6-52bf-4a6e-9656-ed6de5a4b709,ákvörðun,8. maí 2018,Hafnað
8/2018,https://island.is/domar/s-caef0d6d-d2dc-4ea4-b642-c34f451dd452,189/2018,https://island.is/domar/g-f3fd4a7e-bc43-423c-8aeb-7aba56cb2caa,dóm,5. júní 2018,
9/2018,https://island.is/domar/s-e1a3d0f7-b79b-4958-8cfd-05af4b5c7db4,285/2018,https://island.is/domar/g-4b1d5cea-8bad-4bfe-a3c3-04d734ab52c7,dóm,24. apríl 2018,
2018-136,https://island.is/s/haestirettur/akvardanir/273a76b6-46f9-4275-9e63-f59f9a0a1f1f,76/2018,https://island.is/domar/g-fe2ee2cf-6ea0-4526-ac83-c41ad42678e9,ákvörðun,20. júní 2018,Hafnað
2018-94,https://island.is/s/haestirettur/akvardanir/d581c505-3f99-421d-8389-89200cad87ed,305/2018,https://island.is/domar/g-d8cd49ef-1651-4f6d-923e-dd071155574b,ákvörðun,23. maí 2018,Hafnað
2018-151,https://island.is/s/haestirettur/akvardanir/c4ea88fb-d7fd-4122-8583-6d0727acb194,4/2018,https://island.is/domar/g-db602c4e-a472-47a9-901d-87109730cf08,ákvörðun,21. ágúst 2018,Hafnað
11/2018,https://island.is/domar/s-ad7ed949-614c-41dd-a3ed-23c8938c178a,4/2018,https://island.is/domar/g-db602c4e-a472-47a9-901d-87109730cf08,dóm,20. september 2018,
13/2018,https://island.is/domar/s-2be4f4e9-f88c-4e98-9e3e-c4f83a7374d5,319/2018,https://island.is/domar/g-5f81ccb8-bd61-491c-a60c-2fdf2906dc00,dóm,20. júní 2018,
2018-119,https://island.is/s/haestirettur/akvardanir/540449d9-0c84-4b2d-9df5-63a199a05d0b,318/2018,https://island.is/domar/g-3ab6f610-431e-44f0-a4e1-d546fbf69e7d,ákvörðun,20. júní 2018,Hafnað
15/2018,https://island.is/domar/s-f2aecc31-e274-4278-930d-c23f7e629e46,289/2018,https://island.is/domar/g-70b3034f-7404-43e1-a4e2-42010eef21ca,dóm,13. júní 2018,
2018-123,https://island.is/s/haestirettur/akvardanir/cd57d080-3711-471f-9ca4-f5547e972e74,326/2018,https://island.is/domar/g-7c56d4a0-31fc-49f8-94ba-a63efcd4c9ef,ákvörðun,20. júní 2018,Hafnað
14/2018,https://island.is/domar/s-b578bf12-b56d-4aa5-b070-12ebd9739d01,227/2018,https://island.is/domar/g-730089b3-b8e0-4d57-9410-950e1ac1499f,dóm,30. maí 2018,
2019-335,https://island.is/s/haestirettur/akvardanir/5a9ef5f5-d4de-4246-b5ec-3db857c3c104,421/2018,https://island.is/domar/g-a7eb4b84-92d0-4baa-a477-91df0921df01,ákvörðun,17. desember 2019,Samþykkt
2018-141,https://island.is/s/haestirettur/akvardanir/641c60c4-2966-4397-abe6-2ca7eb7f88d9,128/2018,https://island.is/domar/g-55255747-6991-4bda-8f22-df5cae91b683,ákvörðun,10. júlí 2018,Hafnað
2018-161,https://island.is/s/haestirettur/akvardanir/f173437d-0736-4dbd-abd9-4b9dae187d29,80/2018,https://island.is/domar/g-f3214f0f-d471-4f68-ae3b-c54985f58375,ákvörðun,21. ágúst 2018,Hafnað
2018-179,https://island.is/s/haestirettur/akvardanir/649a08ab-33ba-4894-a759-4effa5ee3433,93/2018,https://island.is/domar/g-f2a1c8fe-6447-4f7b-a1dc-f575e8bde823,ákvörðun,19. september 2018,Hafnað
2018-154,https://island.is/s/haestirettur/akvardanir/edf895b0-62f8-4103-ac4b-11313c1521dd,42/2018,https://island.is/domar/g-608c7380-22db-43de-85c1-ba8e3c054512,ákvörðun,21. ágúst 2018,Hafnað
2018-149,https://island.is/s/haestirettur/akvardanir/37add8f9-c6e5-4f9c-b797-46a010c7f667,438/2018,https://island.is/domar/g-68218598-96d3-4282-b602-c852209731ba,ákvörðun,10. júlí 2018,Hafnað
2018-153,https://island.is/s/haestirettur/akvardanir/26c7dbdb-3e53-40fa-bbc2-9010bbcd3503,95/2018,https://island.is/domar/g-90ed73cd-a8b0-4821-a5e0-ce09652d3219,ákvörðun,21. ágúst 2018,Samþykkt
19/2018,https://island.is/domar/s-838d1c4c-4bcd-4376-927c-5d4582a5d9a9,95/2018,https://island.is/domar/g-90ed73cd-a8b0-4821-a5e0-ce09652d3219,dóm,15. mars 2019,
2018-185,https://island.is/s/haestirettur/akvardanir/82c9e983-bc71-4edd-baff-cdbcb2634ec6,83/2018,https://island.is/domar/g-676ed2f1-2a4c-4b2c-ae97-832b3f38baf5,ákvörðun,19. september 2018,Hafnað
2018-152,https://island.is/s/haestirettur/akvardanir/956b6425-19ee-416a-ae9a-677e8292b321,62/2018,https://island.is/domar/g-11b7686e-963b-408a-a248-1c611b3c6acf,ákvörðun,21. ágúst 2018,Hafnað
2018-165,https://island.is/s/haestirettur/akvardanir/cba2e3cc-3be0-44cf-b193-494a05538e58,47/2018,https://island.is/domar/g-928dece3-aa62-48eb-9947-e08d75cb27da,ákvörðun,19. september 2018,Hafnað
2018-150,https://island.is/s/haestirettur/akvardanir/876fdfbd-440e-409a-9c30-6d37cc5f21b6,424/2018,https://island.is/domar/g-afcb392e-e6a8-44e6-9b77-d5f2ebb62a9a,ákvörðun,21. ágúst 2018,Samþykkt
18/2018,https://island.is/domar/s-860df09c-e287-49cd-a018-f40b2fe8108e,424/2018,https://island.is/domar/g-afcb392e-e6a8-44e6-9b77-d5f2ebb62a9a,dóm,16. janúar 2019,
7/2018,https://island.is/domar/s-ba641094-64ae-49be-9f38-f1c6fb9eaddb,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,dóm,7. júní 2018,
2018-181,https://island.is/s/haestirettur/akvardanir/d4de52f1-f2ed-4e5e-bcec-b3e76b430b80,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,ákvörðun,4. október 2018,Samþykkt
21/2018,https://island.is/domar/s-2a9f3b81-7c37-4022-b786-e4a67db47667,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,dóm,23. janúar 2019,
2018-182,https://island.is/s/haestirettur/akvardanir/7ae64a5f-9a23-44f2-a9b8-09056deb7c04,470/2018,https://island.is/domar/g-5f48f47b-ac79-4ad6-9d74-ab501cf0cc23,ákvörðun,4. október 2018,Hafnað
20/2018,https://island.is/domar/s-8a437672-fe7d-4c61-bc7d-fef00b8f6d35,653/2018,https://island.is/domar/g-04efd96f-b7fa-4fef-bada-d6a60ac69174,dóm,2. október 2018,
2018-215,https://island.is/s/haestirettur/akvardanir/d35f5824-3f72-4111-9c78-c598d053f9bc,151/2018,https://island.is/domar/g-adc7c108-936f-4b3f-ada1-6ce2b6e951b2,ákvörðun,14. nóvember 2018,Hafnað
2018-211,https://island.is/s/haestirettur/akvardanir/32e4399c-13da-42d5-ab6f-e4345e054ee2,69/2018,https://island.is/domar/g-847bb9fd-fe97-4a07-9b67-bf050ece2292,ákvörðun,13. nóvember 2018,Hafnað
2018-189,https://island.is/s/haestirettur/akvardanir/7b751af4-1530-41e2-bc43-7560f5c1b4f5,514/2018,https://island.is/domar/g-680b6b93-42eb-4193-b6b4-b571c19541ca,ákvörðun,31. október 2018,Hafnað
2018-197,https://island.is/s/haestirettur/akvardanir/0d706d52-8890-4486-bb25-ef65e01d09d1,442/2018,https://island.is/domar/g-761b6766-1283-48ca-8010-3f92375fd0e5,ákvörðun,8. nóvember 2018,Samþykkt
