appeal,supreme,url,type
57/2021,11/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=1a4052cf-f083-4a11-b072-2547578b136f,ákvörðun
58/2021,10/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7fda3e6c-46a5-4659-836b-087d8af17001,ákvörðun
516/2018,26/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3766b63f-509c-43ed-af6f-ac738a7c5408,ákvörðun
667/2020,13/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=9b70d65c-527f-45d2-9429-50c59b0c1288,ákvörðun
60/2019,30/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d3406746-8a3a-4dbe-a611-af5ac4f01883,ákvörðun
632/2019,27/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b6a3fcb0-c38f-4785-ad70-17af3ab0e0f9,ákvörðun
856/2018,23/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f15a4780-2f44-41a9-95b2-ce0868483761,ákvörðun
857/2018,22/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4feb7ed1-dde8-4208-a216-79027fc9e2ea,ákvörðun
42/2021,6/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=682dc78b-001b-42b8-b715-a9e3ae268fcd,ákvörðun
532/2018,9/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3bd2e892-0564-4dfd-afc6-acbde29dbee8,ákvörðun
690/2019,28/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0cc0938c-5551-430f-9ea4-035aee43f7a6,ákvörðun
287/2019,18/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f20816f1-d584-4738-92fb-a209b475d4d9,ákvörðun
