appeal,supreme,url
266/2022,54/2023,https://www.haestirettur.is/domar/_domur/?id=f7de6e20-479b-45a6-b39a-00f3099ca9d5
457/2021,51/2023,https://www.haestirettur.is/domar/_domur/?id=125bc90e-a008-462a-b465-79aef252ee29
499/2021,50/2023,https://www.haestirettur.is/domar/_domur/?id=e8b0b31b-e975-4fa1-a3e9-14400d5e9a07
181/2021,41/2023,https://www.haestirettur.is/domar/_domur/?id=2cb6240e-db4d-44a8-956b-39f2d539fbf5
418/2022,4/2024,https://www.haestirettur.is/domar/_domur/?id=a163c4fc-bb91-45dd-b098-923e2552c103
638/2022,24/2024,https://www.haestirettur.is/domar/_domur/?id=fb685505-5243-48de-b5d1-4200cf22e3d2
66/2024,20/2024,https://www.haestirettur.is/domar/_domur/?id=cb32820c-89d4-4b53-aaf7-e773c16c6fbf
217/2022,47/2023,https://www.haestirettur.is/domar/_domur/?id=8342c487-2c39-4d77-bfa3-18c3d3387c46
191/2023,2/2024,https://www.haestirettur.is/domar/_domur/?id=d5efc0c9-72ca-40de-baf9-0b6e8aeae3d7
365/2022,56/2023,https://www.haestirettur.is/domar/_domur/?id=c98d2c3a-9005-456c-afbb-eb9637e2936c
197/2022,52/2023,https://www.haestirettur.is/domar/_domur/?id=cdc3ef5b-6e88-4b16-a886-5644e6987ec1
248/2022,48/2023,https://www.haestirettur.is/domar/_domur/?id=2c88bf1e-8636-47b1-9ad1-9e84b38fc1fd
378/2024,23/2024,https://www.haestirettur.is/domar/_domur/?id=2aca3d13-5b7b-4f44-b468-2be566d54e6c
37/2022,34/2023,https://www.haestirettur.is/domar/_domur/?id=345b6e0a-fe6e-4a79-baae-0b7f410431dc
338/2022,57/2023,https://www.haestirettur.is/domar/_domur/?id=907cd252-265d-4a66-93b3-503c2f67384e
566/2022,16/2024,https://www.haestirettur.is/domar/_domur/?id=b4bf7b4a-45b4-48b3-8d96-e45d69aa5e90
25/2022,44/2023,https://www.haestirettur.is/domar/_domur/?id=eb44197e-8086-47c3-a25e-f042ab5c9c83
176/2023,17/2024,https://www.haestirettur.is/domar/_domur/?id=4e0ce4de-b9eb-4a0c-9397-0f92b5db9514
353/2022,5/2024,https://www.haestirettur.is/domar/_domur/?id=7ed45c27-8b81-4acb-8406-5fef040a710a
127/2022,42/2023,https://www.haestirettur.is/domar/_domur/?id=31eff867-b67a-4ca6-a47f-5d31a8322449
731/2022,14/2024,https://www.haestirettur.is/domar/_domur/?id=37f1ce5d-24a6-45aa-9bb8-e46740a6d77a
704/2023,1/2024,https://www.haestirettur.is/domar/_domur/?id=970eb8d4-6a88-4b5f-9f40-c013ad02454a
659/2021,23/2023,https://www.haestirettur.is/domar/_domur/?id=4e89599b-95e0-46b6-ae01-a3739ecbc1fd
658/2021,22/2023,https://www.haestirettur.is/domar/_domur/?id=212e19ab-510c-47c2-88ad-717ff2870980
657/2021,21/2023,https://www.haestirettur.is/domar/_domur/?id=475b645b-2f4e-4915-92fc-b98b4d131c3b
656/2021,20/2023,https://www.haestirettur.is/domar/_domur/?id=65ac593a-5a7f-4d4e-8396-4322f309a0fd
636/2022,13/2024,https://www.haestirettur.is/domar/_domur/?id=c2202bf9-603e-48b9-b9c6-3538fb2f0b74
140/2022,27/2023,https://www.haestirettur.is/domar/_domur/?id=00975cf2-1640-45ea-8a08-44bee5c5aa43
207/2022,30/2023,https://www.haestirettur.is/domar/_domur/?id=4b6b3aad-8759-401c-9e64-1a1c0141e65a
178/2022,33/2023,https://www.haestirettur.is/domar/_domur/?id=ac188192-b55f-45e0-8476-55c7edd3ede5
454/2021,29/2023,https://www.haestirettur.is/domar/_domur/?id=cf6d84f6-3428-47f4-88ef-7e778c0c0d70
745/2022,43/2023,https://www.haestirettur.is/domar/_domur/?id=77c95281-ad0a-4210-b2d9-a016fe8c64d7
427/2022,31/2023,https://www.haestirettur.is/domar/_domur/?id=65f3b280-6c1f-4654-ae38-14b7fdd71d94
799/2021,25/2023,https://www.haestirettur.is/domar/_domur/?id=e37333a0-1c80-4924-97df-b4a6133e1eb2
371/2021,43/2022,https://www.haestirettur.is/domar/_domur/?id=e9f25529-1dab-49e3-ad83-c017150f2e67
425/2021,19/2023,https://www.haestirettur.is/domar/_domur/?id=242a9624-f41d-41cd-becb-974e7cf65958
510/2021,18/2023,https://www.haestirettur.is/domar/_domur/?id=4aebefe8-f1bb-44f5-b4b0-91f6963e9f2c
498/2022,55/2023,https://www.haestirettur.is/domar/_domur/?id=0dec1e3d-c03e-4b8a-a520-0a1ef232c576
312/2023,40/2023,https://www.haestirettur.is/domar/_domur/?id=98e05ef0-ea08-4c44-94f8-a3fb5d32da6c
684/2021,12/2023,https://www.haestirettur.is/domar/_domur/?id=26478e3a-d826-427b-803d-be99a5187421
459/2022,53/2023,https://www.haestirettur.is/domar/_domur/?id=d9fdbae3-573d-4688-9410-eb591481846a
434/2023,49/2023,https://www.haestirettur.is/domar/_domur/?id=6657d877-6835-4d13-be08-caab6ba13b08
706/2021,17/2023,https://www.haestirettur.is/domar/_domur/?id=34e5d5ee-b160-4d9f-a868-df84ef3a8c68
467/2022,16/2023,https://www.haestirettur.is/domar/_domur/?id=f0f719f7-ef97-4df4-9601-b45aa3cbdb08
259/2021,13/2023,https://www.haestirettur.is/domar/_domur/?id=582c9da1-3274-423d-a73b-7b8159e4de6c
559/2021,9/2023,https://www.haestirettur.is/domar/_domur/?id=e3c6851b-6c66-4a63-817e-9091bf557e21
673/2023,46/2023,https://www.haestirettur.is/domar/_domur/?id=4c54e20a-1faa-41f8-a377-59397d676a99
308/2021,7/2023,https://www.haestirettur.is/domar/_domur/?id=2539e92c-51cd-4690-a9cb-d92ee806c995
